what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343100396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343101907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343107465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343153358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343159614
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1318343170351
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318343178763
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318343180281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318343181510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343183724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343190100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343191969
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343197693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343236131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343247122
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318343251041
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318343251787
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318343306047
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343308746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343313571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343315365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343318370
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318343334655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343340205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343349060
error,log,,,"Internal Error",1318343378161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343385848
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318343402117
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343402325
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318343402372
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318343433476
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318343450440
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318343451715
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318343458209
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318343459873
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318343462671
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318343466944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318343469944
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318343470681
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318343471810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318343474369
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318343475439
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318343477592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343496695
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343496825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318343507161
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318343512085
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343516055
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343553561
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1318343570475
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318343579333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343585909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343612044
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318343645687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343648314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318343661872
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1318343663531
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318343664348
